Weapon,Name,Device,Time
Repeaters,Texas-Ranger,PC,01:01
Repeaters,mvbeda5,PC,01:04
Repeaters,DatCosplayGrill,PC,01:10
Strikers,威风堂堂,PC,01:10
Warpike,ZAID-Z-D,PlayStation,01:11
Strikers,Doriballz.Twitch,PC,01:11
Strikers,stratophy,PC,01:13
Strikers,ABOOD1234567-Y,PC,01:14
Strikers,c3lb3r,PC,01:15
Strikers,basti05,PC,01:16
Repeaters,Luffyじ,PC,01:16
Strikers,VaveylaCaytgan,PC,01:17
Strikers,Jay_-,PC,01:17
Repeaters,PISIORMARCINA,PC,01:17
Warpike,ETS,PC,01:18
Strikers,ToeA,PC,01:18
Strikers,Danciop,PC,01:18
Sword,Tatsuya147,PC,01:18
Warpike,ScorchwingMyth,PC,01:20
Strikers,Toadyy_,PC,01:21
Hammer,ABRAEAi,PC,01:21
Strikers,TheVeslovani真混,PC,01:22
Warpike,ALCHANTUR,PC,01:23
Strikers,RO.AO.BH|,Switch,01:23
Warpike,intaZai,XBOX,01:23
Strikers,Heathcrit,PC,01:23
Warpike,TheGreatBuenardo,PC,01:24
Strikers,m_7jd,PlayStation,01:24
Strikers,Yaqueline中,PC,01:24
Warpike,BoFsu9,PlayStation,01:25
Warpike,Phenom_707,PlayStation,01:26
Warpike,請問你又在山海經第幾頁,PC,01:27
Warpike,AnbuReapz,PC,01:27
Strikers,iago375_,PlayStation,01:28
Strikers,暗Tugnryツ,PC,01:29
Strikers,CLAPPERPAUL,PC,01:29
Hammer,B_0_Z,PC,01:30
Warpike,TraevaN_,PC,01:31
Repeaters,NukedYT,PC,01:31
Strikers,D_R_A_G_N_E_X_,PlayStation,01:31
Strikers,Heltrix-,PC,01:32
Strikers,FixTrialRotaWhen,PC,01:32
Strikers,DauntLeesSin,PC,01:32
Strikers,GaryAteMyClapY,PC,01:33
Strikers,juanchivl14,PC,01:33
Warpike,mafuji_22,PlayStation,01:35
Strikers,PrimeZeltriX,PC,01:35
Chainblades,llStoryll,PC,01:36
Strikers,Heteno1,PC,01:37
Strikers,Little_Frepacino,PlayStation,01:37
Warpike,Hellriderr,PC,01:37
Sword,7x1Perdi.,Switch,01:37
Warpike,xuxuhenwudi,PlayStation,01:37
Strikers,DirtyDanlet,PC,01:37
Repeaters,Aromatischer_Tee,PC,01:37
Sword,Tsukkendon,PC,01:38
Hammer,KAMAS_G,PC,01:38
Hammer,cho-4-flhx,PlayStation,01:38
Strikers,Jmanistan,PC,01:39
Strikers,Chimesad,PC,01:40
Strikers,你好奧利給啊,PC,01:42
Warpike,遊戲苦手Vessel,PC,01:42
Hammer,COFFEE--TEA,PlayStation,01:42
Strikers,1lxe,PC,01:43
Chainblades,FreekyMiniMe,XBOX,01:43
Hammer,MUTINYXI,PC,01:43
Strikers,BERBER,PC,01:43
Strikers,Mofu,Switch,01:44
Strikers,Joshlewb,PC,01:44
Strikers,Axadia,PC,01:45
Hammer,Kojiro_Kirijo,PlayStation,01:45
Sword,KatBurst,PC,01:46
Axe,ManiaKill,PlayStation,01:47
Repeaters,KáidoY,PC,01:47
Chainblades,Renny_555,PC,01:48
Warpike,Dreganspar,PlayStation,01:48
Hammer,Reignz_Empire711,PlayStation,01:50
Warpike,Maximus_2019_,PC,01:54
Sword,TheBlkDahliaMrdr,PC,01:54
Strikers,crypto_20k,PC,01:55
Strikers,Gerwant0,PC,01:55
Sword,G.F.Joe13,PC,01:56
Strikers,JunGreyGaming,PC,01:57
Sword,Keyouylsil,PC,01:57
Sword,oOGreverOo,PlayStation,01:58
Strikers,ハャヤーシーG,Switch,01:58
Hammer,Arthurdryl,PC,02:00
Repeaters,Edelrot-94,PlayStation,02:01
Warpike,VernerMraz,PC,02:01
Chainblades,Litioあちゅびん,Switch,02:01
Chainblades,FatalitieSs,XBOX,02:01
Warpike,hamoodi_man,PlayStation,02:02
Sword,ThePrimeOz,PC,02:02
Sword,Az薔薇蘇青衣,PC,02:06
Chainblades,roboslicer,XBOX,02:06
Warpike,DaFlyinDoucheMan,PlayStation,02:09
Chainblades,HAD,PC,02:10
Strikers,Sosienchen,PlayStation,02:10
Repeaters,MegaJhow,PC,02:12
Hammer,CrypticCarbuncle,PC,02:13
